timestamp,severity,incident_type,source_ip,host,user,description,evidence_count,recommended_action,framework_mapping
2026-04-22T13:52:07.513541+05:30,Critical,multi_host_suspicious_activity,10.10.10.10,Multiple hosts,,"Same source IP was involved in suspicious activity across 2 hosts: WINDOWS-LAB, UBUNTU-LAB.",3,"Prioritize investigation of this source IP. Review all related host logs, check whether this was authorized testing, and isolate affected systems if compromise is suspected.","NIST CSF: DE.AE Anomalies and Events, RS.AN Analysis | NIST SP 800-61: Incident Analysis and Prioritization | MITRE ATT&CK: T1021 Remote Services, T1078 Valid Accounts"
2026-04-22T15:04:19.321160+05:30,Critical,successful_login_after_repeated_failures,10.10.10.10,UBUNTU-LAB,demo_user,"A successful login occurred after repeated failed login attempts for the same source, host, and user.",3,"Treat as possible account compromise. Confirm whether the login was authorized, review user activity after login, reset credentials if suspicious, and preserve related logs.","NIST CSF: DE.AE Anomalies and Events, RS.AN Analysis | NIST SP 800-61: Detection, Analysis, and Prioritization | MITRE ATT&CK: T1110 Brute Force, T1078 Valid Accounts"
2026-04-22T13:52:07.513541+05:30,High,high_volume_failed_logins,10.10.10.10,UBUNTU-LAB,demo_user,"7 failed login attempts observed for the same source, host, and user.",7,"Investigate the source IP and targeted account. Consider password reset, account lockout review, rate limiting, and preserving logs as evidence.","NIST CSF: DE.AE Anomalies and Events, DE.CM Security Continuous Monitoring | NIST SP 800-61: Detection and Analysis | MITRE ATT&CK: T1110 Brute Force"
2026-04-22T15:16:53.279955+05:30,High,privilege_activity_after_suspicious_login,,UBUNTU-LAB,demo_user,Privilege-related activity observed after suspicious login activity for the same user and host.,4,Review commands or administrative actions performed by this user. Check whether privilege use was authorized and preserve command/session evidence.,"NIST CSF: DE.CM Security Continuous Monitoring, RS.AN Analysis | NIST SP 800-61: Detection and Analysis | MITRE ATT&CK: Privilege Escalation"
5/12/2026 3:36:55 PM,High,windows_repeated_network_failed_logins,10.10.10.10,WINDOWS-LAB,demo_win_user,"6 Windows network/SMB-style failed login attempts observed for the same source, host, and user.",6,"Investigate the source IP and targeted account. Consider password reset, account lockout review, rate limiting, and preserving logs as evidence.","NIST CSF: DE.AE Anomalies and Events, DE.CM Security Continuous Monitoring | MITRE ATT&CK: T1110 Brute Force, T1021 Remote Services"
2026-04-22T15:08:29.023470+05:30,Low,single_failed_login,,UBUNTU-LAB,admin_user,Single failed login attempt observed.,1,Review only if repeated later or linked with other suspicious activity.,NIST CSF: DE.CM Security Continuous Monitoring
